[2016-02-11 16:21:45][main.cpp:226][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 16:28:45][main.cpp:226][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 16:29:11][main.cpp:226][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 16:29:39][main.cpp:226][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 16:29:51][main.cpp:226][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 16:34:51][main.cpp:226][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 20:56:52][main.cpp:256][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 20:58:35][main.cpp:256][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 20:59:48][main.cpp:256][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 21:21:59][main.cpp:256][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 21:28:27][main.cpp:256][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 21:30:06][main.cpp:256][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 22:43:52][main.cpp:236][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 23:00:05][main.cpp:242][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 23:00:57][main.cpp:242][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 23:03:08][main.cpp:242][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 23:05:37][main.cpp:241][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 23:07:48][main.cpp:241][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 23:08:43][main.cpp:241][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 23:10:46][main.cpp:241][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 23:11:23][main.cpp:241][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 23:13:34][main.cpp:242][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 23:14:28][main.cpp:242][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 23:19:34][main.cpp:242][main]: int: 1, str: hello world, double: 1.500000
[2016-02-11 23:21:38][main.cpp:243][main]: int: 1, str: hello world, double: 1.500000
